,M85,M46,M86,M70,M84,M83,M73,M60,M52,M66,M54,M62,M67,M80,M77,M56,M72,M53,costs,entropy
white,0.107,0.0,0.016,0.016,0.107,0.107,0.107,0.016,0.016,0.107,0.016,0.107,0.016,0.107,0.016,0.016,0.016,0.107,0.0,3.617
edible,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paths,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prior,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,
alpha,2.0, , , , , , , , , , , , , , , , , , , 
entropy,0.007,0.0,0.002,0.002,0.007,0.007,0.007,0.002,0.002,0.007,0.002,0.007,0.002,0.007,0.002,0.002,0.002,0.007,,
entropy_sum,0.071, , , , , , , , , , , , , , , , , , , 
